iter	Passed	Remaining
0	134	134818
1	136	67923
2	136	45483
3	137	34253
4	138	27536
5	139	23050
6	139	19853
7	140	17450
8	141	15575
9	142	14083
10	143	12866
11	143	11846
12	144	10979
13	145	10237
14	146	9598
15	146	9034
16	147	8542
17	148	8104
18	149	7711
19	150	7362
20	151	7044
21	151	6750
22	152	6481
23	153	6237
24	154	6011
25	154	5801
26	155	5609
27	156	5429
28	157	5263
29	157	5105
30	158	4963
31	159	4825
32	160	4693
33	160	4569
34	161	4455
35	162	4345
36	162	4239
37	163	4141
38	164	4048
39	164	3959
40	165	3876
41	166	3796
42	167	3719
43	167	3645
44	168	3574
45	169	3506
46	169	3440
47	170	3377
48	170	3317
49	171	3260
50	172	3206
51	172	3153
52	173	3102
53	174	3052
54	174	3006
55	175	2962
56	176	2921
57	177	2880
58	178	2842
59	178	2803
60	179	2766
61	180	2731
62	181	2697
63	182	2663
64	182	2630
65	183	2598
66	184	2566
67	184	2535
68	185	2504
69	186	2475
70	187	2447
71	187	2419
72	188	2391
73	188	2364
74	189	2338
75	190	2314
76	191	2290
77	191	2265
78	192	2242
79	193	2221
80	193	2200
81	194	2179
82	195	2154
83	195	2133
84	196	2114
85	197	2095
86	197	2076
87	198	2057
88	199	2038
89	199	2020
90	200	2003
91	201	1987
92	202	1971
93	202	1955
94	203	1938
95	204	1923
96	204	1907
97	205	1892
98	206	1877
99	206	1862
100	207	1848
101	208	1833
102	209	1820
103	209	1807
104	210	1794
105	211	1781
106	211	1768
107	212	1756
108	213	1743
109	213	1731
110	214	1719
111	215	1707
112	216	1695
113	216	1684
114	217	1672
115	218	1662
116	218	1650
117	219	1640
118	220	1629
119	220	1618
120	221	1608
121	221	1597
122	222	1587
123	223	1577
124	223	1567
125	224	1558
126	225	1547
127	225	1539
128	226	1530
129	227	1520
130	227	1511
131	228	1503
132	229	1494
133	229	1485
134	230	1477
135	231	1469
136	232	1462
137	232	1453
138	233	1445
139	234	1437
140	234	1429
141	235	1420
142	235	1412
143	236	1404
144	236	1397
145	237	1389
146	238	1382
147	238	1375
148	239	1368
149	240	1361
150	240	1354
151	241	1347
152	242	1340
153	242	1333
154	243	1326
155	244	1320
156	244	1313
157	245	1307
158	246	1301
159	246	1295
160	247	1288
161	247	1281
162	248	1275
163	249	1269
164	249	1263
165	250	1257
166	251	1252
167	251	1246
168	252	1240
169	252	1235
170	253	1229
171	254	1224
172	254	1218
173	255	1213
174	256	1207
175	256	1202
176	257	1196
177	258	1191
178	258	1186
179	259	1181
180	260	1178
181	261	1173
182	261	1169
183	262	1164
184	263	1159
185	263	1154
186	264	1150
187	265	1145
188	265	1140
189	266	1136
190	267	1131
191	267	1127
192	268	1122
193	269	1117
194	269	1113
195	270	1109
196	271	1105
197	271	1101
198	272	1096
199	273	1092
200	273	1088
201	274	1084
202	275	1080
203	275	1076
204	276	1072
205	277	1068
206	277	1064
207	278	1060
208	279	1056
209	279	1053
210	280	1049
211	281	1045
212	282	1042
213	282	1038
214	283	1034
215	284	1031
216	284	1027
217	285	1023
218	286	1020
219	286	1016
220	287	1013
221	288	1009
222	288	1006
223	289	1002
224	290	999
225	290	996
226	291	993
227	292	989
228	292	986
229	293	983
230	294	979
231	295	976
232	295	973
233	296	969
234	296	966
235	297	963
236	298	959
237	298	956
238	299	953
239	299	949
240	300	947
241	301	943
242	302	940
243	302	938
244	303	934
245	304	931
246	304	928
247	305	925
248	305	922
249	306	919
250	307	916
251	307	913
252	308	910
253	309	907
254	309	904
255	310	901
256	310	898
257	311	896
258	312	893
259	312	890
260	313	888
261	314	885
262	314	882
263	315	879
264	316	877
265	316	874
266	317	871
267	318	869
268	318	866
269	319	863
270	320	861
271	320	858
272	321	856
273	322	853
274	322	851
275	323	848
276	324	846
277	324	843
278	325	841
279	326	838
280	326	836
281	327	833
282	328	831
283	328	828
284	329	826
285	330	824
286	330	822
287	331	820
288	332	817
289	333	815
290	333	813
291	334	811
292	335	808
293	335	806
294	336	804
295	337	802
296	337	800
297	338	797
298	339	795
299	339	793
300	340	791
301	341	788
302	341	786
303	342	784
304	343	782
305	343	779
306	344	777
307	345	775
308	345	773
309	346	771
310	347	769
311	348	767
312	348	765
313	349	763
314	350	762
315	351	760
316	352	758
317	352	756
318	353	754
319	354	752
